cargo;salario;nome;telefone;email;endereco;cidade;estado;cep;anoNascimento;sexo
Analista;5220.45;Marcos Pereira;(64) 91234-5678;marcos.pereira@email.com;Rua das Acácias 123;Rio Verde;GO;75901-000;1987;Masculino
Desenvolvedor;7800.00;Juliana Silva;(64) 99888-7766;juliana.silva@email.com;Avenida Brasil 456;Jataí;GO;75801-111;1992;Feminino
Gerente;11250.75;Carlos Souza;(64) 99123-4455;carlos.souza@email.com;Rua das Flores 789;Mineiros;GO;75830-222;1975;Masculino
Estagiário;2100.30;Fernanda Lima;(64) 99666-5544;fernanda.lima@email.com;Rua Central 321;Caiapônia;GO;75850-333;2001;Feminino
Assistente;3650.00;Rafael Oliveira;(64) 98777-3322;rafael.oliveira@email.com;Av. Goiás 987;Santa Helena;GO;75920-444;1996;Masculino
Desenvolvedor;7050.02;Stella da Cunha;+55 (061) 3704-6772;bernardo61@moraes.net;Esplanada Porto, 786;Santa Helena;GO;12284160;1975;Masculino
Gerente;12209.41;Murilo das Neves;+55 61 2220 9298;thiagomoraes@bol.com.br;Condomínio Pinto, 1;Aparecida de Goiânia;GO;21132-157;1965;Feminino
Analista;5029.8;Srta. Emanuella Costela;41 0456-8089;leonardoalmeida@yahoo.com.br;Lagoa Azevedo, 18;Caiapônia;GO;97098-537;1974;Masculino
Diretor;15994.19;Paulo Porto;11 0725 9478;agathacardoso@gmail.com;Jardim de Carvalho, 92;Aparecida de Goiânia;GO;54346-087;1986;Masculino
Supervisor;7178.53;Brenda Castro;+55 (071) 0679-6639;zmelo@gmail.com;Distrito Nunes, 54;Rio Verde;GO;87593-519;1970;Feminino
Coordenador;8555.74;Pietro Novaes;+55 81 4021-7526;enzogoncalves@barros.br;Rodovia de Correia, 87;Caiapônia;GO;74249771;1981;Masculino
Desenvolvedor;7759.85;Igor da Cunha;+55 61 1975 9801;ian10@hotmail.com;Trevo de Porto, 18;Catalão;GO;68238550;1982;Feminino
Analista;5729.73;Isadora Gomes;(084) 4353-1267;almeidaleandro@rezende.com;Chácara Silveira, 11;Aparecida de Goiânia;GO;54603294;1967;Feminino
Desenvolvedor;8104.08;Igor Lima;(041) 0385 7372;kvieira@ig.com.br;Conjunto Ana Laura Correia, 83;Luziânia;GO;94667146;1983;Masculino
Desenvolvedor;7091.65;Alice Ramos;41 8693-8208;yuridas-neves@yahoo.com.br;Rua de Cardoso, 452;Caiapônia;GO;83869674;1978;Masculino
Estagiário;2366.48;Dr. Marcelo Costela;+55 21 8423-3262;da-cruzmilena@bol.com.br;Quadra Júlia da Luz, 437;Anápolis;GO;12579-092;1977;Feminino
Coordenador;8325.31;Milena Gomes;+55 (011) 9031 5942;lorenada-paz@moraes.com;Alameda de Alves, 65;Catalão;GO;79199084;1973;Feminino
Desenvolvedor;8218.26;Fernando Pinto;21 7946 1334;isantos@melo.net;Loteamento de Aragão;Mineiros;GO;20227298;1994;Masculino
Gerente;11386.78;Rafaela Barros;81 0857 0548;souzasophia@peixoto.br;Trevo das Neves, 2;Santa Helena;GO;56992-984;2000;Masculino
Coordenador;9685.7;Francisco da Paz;0300-944-5411;carlos-eduardoviana@gmail.com;Praia Raquel Azevedo, 72;Rio Verde;GO;97452337;1974;Masculino
Coordenador;8802.33;João Guilherme Fogaça;71 8335 4674;davi-lucca27@das.com;Vale de Moura, 37;Jataí;GO;60451-925;1973;Feminino
Estagiário;2155.44;Ana Júlia Ribeiro;11 7133-2101;gabrielada-mota@uol.com.br;Feira de Vieira;Anápolis;GO;54907-114;2001;Feminino
Gerente;10794.64;Eduarda Lima;(084) 7611 2439;yda-cruz@viana.net;Área Emanuella Nascimento;Caiapônia;GO;44140426;1995;Feminino
Consultor;8713.74;Amanda das Neves;(071) 4543 1549;leandro23@nogueira.org;Morro Sabrina Silveira;Luziânia;GO;64306979;1985;Feminino
